date_time,temp,date,time,weekday,month,year,temp_deseasoned1,deseasoned_24hr_smooth,deseasoned_weekly_smooth
2015-01-05 23:00:00,39.08546374999997,2015-01-05,23:00:00,Monday,January,2015,1.1119274999999504,-1.0747996874999997,0.9468335156249995
2015-01-06 00:00:00,37.943116250000074,2015-01-06,00:00:00,Tuesday,January,2015,0.5975437499999714,-1.0738842187500026,0.9432325902061848
2015-01-06 01:00:00,37.84136000000002,2015-01-06,01:00:00,Tuesday,January,2015,0.7572600000000236,-1.0379442187499988,0.9413349107142851
2015-01-06 02:00:00,36.5589275,2015-01-06,02:00:00,Tuesday,January,2015,0.11161125000005256,-1.0178835937499906,0.9329538636363636
2015-01-06 03:00:00,36.59552374999994,2015-01-06,03:00:00,Tuesday,January,2015,0.99899999999991,-0.9209887499999899,0.9336143249999991
2015-01-06 04:00:00,36.146299999999975,2015-01-06,04:00:00,Tuesday,January,2015,0.5837399999999988,-0.8399662499999833,0.9301502227722762
2015-01-06 05:00:00,35.10668749999998,2015-01-06,05:00:00,Tuesday,January,2015,-1.6051162500000373,-0.9060360937499835,0.9052946691176457
2015-01-06 06:00:00,35.315003750000095,2015-01-06,06:00:00,Tuesday,January,2015,-1.0909237499999378,-0.9416067187499824,0.8859139077669895
2015-01-06 07:00:00,35.79421999999995,2015-01-06,07:00:00,Tuesday,January,2015,-1.0009800000000126,-0.9651267187499775,0.8677706971153837
2015-01-06 08:00:00,39.197232500000034,2015-01-06,08:00:00,Tuesday,January,2015,1.4519924999999319,-0.8612568749999839,0.8733347142857127
2015-01-06 09:00:00,40.21616750000005,2015-01-06,09:00:00,Tuesday,January,2015,0.39984750000003544,-0.8086917187499824,0.8688678537735837
2015-01-06 10:00:00,42.1466,2015-01-06,10:00:00,Tuesday,January,2015,0.49247999999986547,-0.7676217187499926,0.8653502102803713
2015-01-06 11:00:00,45.719240000000006,2015-01-06,11:00:00,Tuesday,January,2015,-0.21468375000001316,-0.9172818749999964,0.8553498958333308
2015-01-06 12:00:00,48.589520000000036,2015-01-06,12:00:00,Tuesday,January,2015,-2.2001962500000403,-0.8341917187500023,0.8273173623853183
2015-01-06 13:00:00,49.66664000000009,2015-01-06,13:00:00,Tuesday,January,2015,-2.709719999999919,-0.8317167187499974,0.7951624772727252
2015-01-06 14:00:00,51.33152749999998,2015-01-06,14:00:00,Tuesday,January,2015,-2.2076325000001518,-0.7941464062500089,0.7681102702702668
2015-01-06 15:00:00,51.50744375000005,2015-01-06,15:00:00,Tuesday,January,2015,-2.3825362500000153,-0.7248562500000139,0.7399794977678535
