date_time,generation fossil gas stationary,generation fossil hard coal stationary,generation hydro pumped storage consumption stationary,total load actual stationary,target,price actual stationary,time,year,month,week_number_year,weekday,day,is_weekend,holiday,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24
2018-05-26 18:00:00,-1106.6214813383149,-712.1989861502107,402.8863188696638,-2213.977152763204,59.06,-13.923440543261009,18:00:00,2018,May,21,Saturday,26,True,False,-15.208039430247311,-12.490126759014423,-7.2629538138089345,-0.8776442476809336,1.3079074577719467,0.7852573037678354,0.27622895560446636,-0.42524292438639577,-1.3334586156937291,-1.0177790135806362,-4.436287432530413,-1.1826744188317946,2.6410110834513176,4.74197298413624,6.38499809829149,6.182494816328031,7.719990107423925,6.724110683907952,4.979401351716163,3.7478980697526794,2.0757927615335205,-2.9838126893797323,-5.369978785270135,-6.251565543260995
2018-05-26 19:00:00,-533.2479225483612,-324.90683432372725,351.0244181847322,-1820.519119087403,66.41,-6.638103785270154,19:00:00,2018,May,21,Saturday,26,True,False,-13.923440543261009,-15.208039430247311,-12.490126759014423,-7.2629538138089345,-0.8776442476809336,1.3079074577719467,0.7852573037678354,0.27622895560446636,-0.42524292438639577,-1.3334586156937291,-1.0177790135806362,-4.436287432530413,-1.1826744188317946,2.6410110834513176,4.74197298413624,6.38499809829149,6.182494816328031,7.719990107423925,6.724110683907952,4.979401351716163,3.7478980697526794,2.0757927615335205,-2.9838126893797323,-5.369978785270135
2018-05-26 20:00:00,-186.25932380406903,136.41528325618128,278.86979489706107,-480.6260397495098,70.07,-1.7115210227130717,20:00:00,2018,May,21,Saturday,26,True,False,-6.638103785270154,-13.923440543261009,-15.208039430247311,-12.490126759014423,-7.2629538138089345,-0.8776442476809336,1.3079074577719467,0.7852573037678354,0.27622895560446636,-0.42524292438639577,-1.3334586156937291,-1.0177790135806362,-4.436287432530413,-1.1826744188317946,2.6410110834513176,4.74197298413624,6.38499809829149,6.182494816328031,7.719990107423925,6.724110683907952,4.979401351716163,3.7478980697526794,2.0757927615335205,-2.9838126893797323
2018-05-26 21:00:00,226.4893491411367,313.4760994662265,57.115043184732286,1778.078883195696,72.03,2.8728760948668395,21:00:00,2018,May,21,Saturday,26,True,False,-1.7115210227130717,-6.638103785270154,-13.923440543261009,-15.208039430247311,-12.490126759014423,-7.2629538138089345,-0.8776442476809336,1.3079074577719467,0.7852573037678354,0.27622895560446636,-0.42524292438639577,-1.3334586156937291,-1.0177790135806362,-4.436287432530413,-1.1826744188317946,2.6410110834513176,4.74197298413624,6.38499809829149,6.182494816328031,7.719990107423925,6.724110683907952,4.979401351716163,3.7478980697526794,2.0757927615335205
2018-05-26 22:00:00,880.236480990452,554.906036680839,-93.29962576503944,2986.048789017612,72.22,5.555189736419365,22:00:00,2018,May,21,Saturday,26,True,False,2.8728760948668395,-1.7115210227130717,-6.638103785270154,-13.923440543261009,-15.208039430247311,-12.490126759014423,-7.2629538138089345,-0.8776442476809336,1.3079074577719467,0.7852573037678354,0.27622895560446636,-0.42524292438639577,-1.3334586156937291,-1.0177790135806362,-4.436287432530413,-1.1826744188317946,2.6410110834513176,4.74197298413624,6.38499809829149,6.182494816328031,7.719990107423925,6.724110683907952,4.979401351716163,3.7478980697526794
2018-05-26 23:00:00,1675.6128365840586,665.0747581420264,-301.33733980613533,3489.5011006614477,71.67,7.682734685049496,23:00:00,2018,May,21,Saturday,26,True,False,5.555189736419365,2.8728760948668395,-1.7115210227130717,-6.638103785270154,-13.923440543261009,-15.208039430247311,-12.490126759014423,-7.2629538138089345,-0.8776442476809336,1.3079074577719467,0.7852573037678354,0.27622895560446636,-0.42524292438639577,-1.3334586156937291,-1.0177790135806362,-4.436287432530413,-1.1826744188317946,2.6410110834513176,4.74197298413624,6.38499809829149,6.182494816328031,7.719990107423925,6.724110683907952,4.979401351716163
2018-05-27 00:00:00,1225.252990693648,843.601356315542,-533.6787210846742,3291.09383753359,70.56,9.085777350574617,00:00:00,2018,May,21,Sunday,27,True,False,7.682734685049496,5.555189736419365,2.8728760948668395,-1.7115210227130717,-6.638103785270154,-13.923440543261009,-15.208039430247311,-12.490126759014423,-7.2629538138089345,-0.8776442476809336,1.3079074577719467,0.7852573037678354,0.27622895560446636,-0.42524292438639577,-1.3334586156937291,-1.0177790135806362,-4.436287432530413,-1.1826744188317946,2.6410110834513176,4.74197298413624,6.38499809829149,6.182494816328031,7.719990107423925,6.724110683907952
2018-05-27 01:00:00,861.3938297347459,713.1595184159987,-720.5334157193774,2865.4454499765125,69.96,10.092698440757246,01:00:00,2018,May,21,Sunday,27,True,False,9.085777350574617,7.682734685049496,5.555189736419365,2.8728760948668395,-1.7115210227130717,-6.638103785270154,-13.923440543261009,-15.208039430247311,-12.490126759014423,-7.2629538138089345,-0.8776442476809336,1.3079074577719467,0.7852573037678354,0.27622895560446636,-0.42524292438639577,-1.3334586156937291,-1.0177790135806362,-4.436287432530413,-1.1826744188317946,2.6410110834513176,4.74197298413624,6.38499809829149,6.182494816328031,7.719990107423925
2018-05-27 02:00:00,811.9438297347451,520.5854459274142,-819.630133755907,2333.8752159582546,69.34,10.138953149661376,02:00:00,2018,May,21,Sunday,27,True,False,10.092698440757246,9.085777350574617,7.682734685049496,5.555189736419365,2.8728760948668395,-1.7115210227130717,-6.638103785270154,-13.923440543261009,-15.208039430247311,-12.490126759014423,-7.2629538138089345,-0.8776442476809336,1.3079074577719467,0.7852573037678354,0.27622895560446636,-0.42524292438639577,-1.3334586156937291,-1.0177790135806362,-4.436287432530413,-1.1826744188317946,2.6410110834513176,4.74197298413624,6.38499809829149,6.182494816328031
2018-05-27 03:00:00,684.9505934333747,485.9019413612041,-687.8786640070485,1840.627470524465,69.34,9.919789764958168,03:00:00,2018,May,21,Sunday,27,True,False,10.138953149661376,10.092698440757246,9.085777350574617,7.682734685049496,5.555189736419365,2.8728760948668395,-1.7115210227130717,-6.638103785270154,-13.923440543261009,-15.208039430247311,-12.490126759014423,-7.2629538138089345,-0.8776442476809336,1.3079074577719467,0.7852573037678354,0.27622895560446636,-0.42524292438639577,-1.3334586156937291,-1.0177790135806362,-4.436287432530413,-1.1826744188317946,2.6410110834513176,4.74197298413624,6.38499809829149
